lat,lon
64.56105555,-160.9357766
64.55707608,-160.9188957
64.56106838,-160.905363
64.55703601,-160.9021328
64.55159943,-160.9071203
64.5564093,-160.8857301
64.55936107,-160.8652801
64.55648985,-160.8620995
64.55467936,-160.8706814
64.55204769,-160.8630822
64.54935492,-160.8634921
64.54958702,-160.8561877
64.5464604,-160.8462886
64.54532767,-160.8247606
64.53695641,-160.8244499
64.52904356,-160.8195673
64.52951781,-160.8256223
64.52490524,-160.8277106
64.5197948,-160.8312513
64.51976823,-160.8233023
64.52039,-160.8092808
64.5204506,-160.8073035
64.52376028,-160.7981341
64.52855322,-160.7841105
64.53595242,-160.7717863
64.54206644,-160.7616667
64.54722927,-160.7549733
64.54814114,-160.7439783
