lat,lon
64.04449789,-160.9339152
64.0449407,-160.92385
64.0433991,-160.921592
64.03970981,-160.9224058
64.0402543,-160.9158228
64.04000628,-160.9069008
64.04197586,-160.8995818
64.0435659,-160.9003579
64.04243024,-160.8895022
64.04592457,-160.8908957
64.04555988,-160.885414
64.05020521,-160.8817858
64.05316352,-160.8741156
64.05615234,-160.8749021
64.0586483,-160.871139
64.06002922,-160.8651977
64.06192043,-160.8667692
64.06311175,-160.860047
64.06658722,-160.8561893
64.07236168,-160.8514937
64.07507926,-160.8477473
64.07839699,-160.8354352
64.08316126,-160.8253447
64.0902443,-160.8208341
64.09482887,-160.816641
64.09781643,-160.8149064
64.1029993,-160.8053525
