lat,lon
64.81665289,-160.9158858
64.83420376,-160.8635302
64.82006432,-160.8530494
64.81805736,-160.8186807
64.83257633,-160.8398165
64.84029153,-160.851306
64.85152253,-160.834433
64.84262187,-160.8299788
64.83671674,-160.8288797
64.83995919,-160.8010412
64.84489705,-160.7874454
64.85457924,-160.789765
64.85701645,-160.7879749
64.8481147,-160.7679447
64.84352586,-160.7626663
64.83551133,-160.7606716
64.83510708,-160.7583693
64.83617208,-160.7546638
64.84078196,-160.7437834
64.83949944,-160.7312934
64.82778439,-160.7186578
64.82546772,-160.6932107
64.82428101,-160.6702366
64.83030818,-160.6668049
64.84246504,-160.6649509
64.84601964,-160.6332399
64.83765417,-160.6196205
64.8234823,-160.6262024
64.82259046,-160.6243897
64.81934315,-160.6061177
64.827558,-160.6007425
64.82826384,-160.6008584
64.83648741,-160.6032872
64.84232892,-160.5903079
64.85277596,-160.5897723
64.86188072,-160.5878578
64.86962065,-160.5835149
64.87809157,-160.5954685
