lat,lon
64.37912391,-161.2468385
64.38140555,-161.2295986
64.37154165,-161.1991981
64.35903425,-161.1973536
64.34749765,-161.1792752
64.33529687,-161.1587504
64.32741302,-161.1444568
64.32325048,-161.1344528
64.31694679,-161.1118829
64.3212048,-161.1037533
64.31642292,-161.1007959
64.31898384,-161.081957
64.31739011,-161.0683037
64.31963294,-161.0511866
64.31927201,-161.0312329
64.32093968,-161.008075
64.31996377,-160.9948465
64.3206184,-160.9789393
64.31806527,-160.966952
64.32003091,-160.9539334
64.31361591,-160.9383438
64.31403701,-160.9215277
64.30695221,-160.911224
